ID;jugador_ID;jornada_ID;convocado;titular;goles;asistencias;tarjeta
179;16;10;1;0;0;0;NO
180;2;10;0;0;0;0;NO
181;7;10;0;0;0;0;NO
182;18;10;1;1;0;1;NO
183;9;10;0;0;0;0;NO
184;5;10;1;0;0;0;NO
185;19;10;0;0;0;0;NO
186;10;10;0;0;0;0;NO
187;13;10;0;0;0;0;NO
188;4;10;1;1;1;0;NO
189;12;10;1;1;0;0;NO
190;8;10;0;0;0;0;NO
191;3;11;1;1;0;0;NO
192;14;11;1;1;0;0;NO
193;17;11;1;0;0;0;NO
194;11;11;0;0;0;0;NO
195;6;11;1;0;0;0;NO
196;1;11;1;1;0;0;NO
197;15;11;1;1;0;0;NO
198;16;11;1;1;0;0;NO
199;2;11;0;0;0;0;NO
200;7;11;1;1;0;1;NO
201;18;11;0;0;0;0;NO
202;9;11;1;0;0;0;NO
203;5;11;0;0;0;0;NO
204;19;11;1;0;0;0;NO
205;10;11;0;0;0;0;NO
206;13;11;0;0;0;0;NO
207;4;11;1;1;0;0;NO
208;12;11;1;0;2;0;NO
209;8;11;0;0;0;0;NO
210;3;12;1;1;0;0;NO
211;14;12;1;1;0;0;NO
212;17;12;1;0;0;0;NO
213;11;12;0;0;0;0;NO
214;6;12;1;0;0;0;NO
215;1;12;0;0;0;0;NO
216;15;12;1;1;0;0;NO
217;16;12;1;1;0;0;NO
218;2;12;0;0;0;0;NO
219;7;12;0;0;0;0;NO
220;18;12;0;0;0;0;NO
221;9;12;0;0;0;0;NO
222;5;12;1;1;0;0;NO
223;19;12;1;0;0;0;NO
224;10;12;0;0;0;0;NO
225;13;12;0;0;0;0;NO
226;4;12;1;1;1;0;NO
227;12;12;1;1;1;0;NO
228;8;12;1;0;0;1;NO
229;3;13;1;1;0;0;NO
230;14;13;1;1;0;0;NO
231;17;13;1;0;0;0;NO
232;11;13;0;0;0;0;NO
233;6;13;1;1;0;0;NO
234;1;13;1;0;1;0;NO
235;15;13;1;0;0;0;NO
236;16;13;1;1;0;0;NO
237;2;13;0;0;0;0;NO
238;7;13;1;1;0;0;NO
239;18;13;0;0;0;0;NO
240;9;13;0;0;0;0;NO
241;5;13;0;0;0;0;NO
242;19;13;0;0;0;0;NO
243;10;13;0;0;0;0;NO
244;13;13;0;0;0;0;NO
245;4;13;1;1;1;1;NO
246;12;13;0;0;0;0;NO
247;8;13;1;1;1;0;NO
248;3;14;1;1;0;0;NO
249;14;14;1;1;0;0;NO
250;17;14;0;0;0;0;NO
251;11;14;0;0;0;0;NO
252;6;14;1;1;1;1;NO
253;1;14;1;1;1;0;NO
254;15;14;1;1;0;0;NO
255;16;14;0;0;0;0;NO
256;2;14;0;0;0;0;NO
257;7;14;0;0;0;0;NO
258;18;14;0;0;0;0;NO
259;9;14;0;0;0;0;NO
260;5;14;0;0;0;0;NO
261;19;14;1;0;0;0;NO
262;10;14;0;0;0;0;NO
263;13;14;0;0;0;0;NO
264;4;14;1;1;0;0;NO
265;12;14;1;1;1;1;NO
266;8;14;0;0;0;0;NO
267;3;15;1;1;0;0;NO
268;14;15;1;1;0;0;NO
269;17;15;1;0;0;0;NO
270;11;15;0;0;0;0;NO
271;6;15;1;0;0;0;NO
272;1;15;1;1;0;0;NO
273;15;15;1;0;0;0;NO
274;16;15;1;1;0;0;NO
275;2;15;0;0;0;0;NO
276;7;15;0;0;0;0;NO
277;18;15;0;0;0;0;NO
278;9;15;0;0;0;0;NO
279;5;15;1;1;0;0;NO
280;19;15;0;0;0;0;NO
281;10;15;0;0;0;0;NO
282;13;15;1;0;0;0;NO
283;4;15;1;1;1;0;NO
284;12;15;1;1;0;0;NO
285;8;15;1;0;0;1;NO
286;3;16;0;0;0;0;NO
287;14;16;0;0;0;0;NO
288;17;16;0;0;0;0;NO
289;11;16;0;0;0;0;NO
290;6;16;1;1;0;1;NO
291;1;16;1;1;1;1;NO
292;15;16;1;1;0;0;NO
293;16;16;0;0;0;0;NO
294;2;16;1;1;2;0;NO
295;7;16;0;0;0;0;NO
296;18;16;0;0;0;0;NO
297;9;16;0;0;0;0;NO
298;5;16;1;1;0;0;NO
299;19;16;1;0;0;0;NO
300;10;16;0;0;0;0;NO
301;13;16;1;0;0;1;NO
302;4;16;1;1;0;0;NO
303;12;16;1;1;0;0;NO
304;8;16;0;0;0;0;NO
305;3;17;0;0;0;0;NO
306;14;17;0;0;0;0;NO
307;17;17;0;0;0;0;NO
308;11;17;0;0;0;0;NO
309;6;17;1;1;0;0;NO
310;1;17;1;1;1;0;NO
311;15;17;0;0;0;0;NO
312;16;17;0;0;0;0;NO
313;2;17;0;0;0;0;NO
314;7;17;1;1;0;0;NO
315;18;17;0;0;0;0;NO
316;9;17;0;0;0;0;NO
317;5;17;1;0;0;0;NO
318;19;17;1;1;0;1;NO
319;10;17;0;0;0;0;NO
320;13;17;1;1;0;0;NO
321;4;17;1;1;0;1;NO
322;12;17;1;1;0;0;NO
323;8;17;1;0;1;0;NO
324;3;18;1;0;1;0;AMARILLA
325;14;18;0;0;0;0;NO
326;17;18;0;0;0;0;NO
327;11;18;1;0;0;0;NO
328;6;18;1;1;0;0;NO
329;1;18;1;1;0;0;NO
330;15;18;1;1;0;0;NO
331;16;18;1;1;0;0;NO
332;2;18;0;0;0;0;NO
333;7;18;1;1;0;1;NO
334;18;18;1;0;3;1;NO
335;9;18;0;0;0;0;NO
336;5;18;0;0;0;0;NO
337;19;18;1;1;0;0;NO
338;10;18;0;0;0;0;NO
339;13;18;0;0;0;0;NO
340;4;18;1;0;0;1;NO
341;12;18;1;1;2;1;NO
342;8;18;0;0;0;0;NO
343;3;19;1;1;0;0;NO
344;14;19;1;0;0;0;NO
345;17;19;1;0;0;0;NO
346;11;19;0;0;0;0;NO
347;6;19;1;0;1;0;NO
348;1;19;1;1;0;1;NO
349;15;19;1;1;0;0;NO
350;16;19;0;0;0;0;NO
351;2;19;0;0;0;0;NO
352;7;19;0;0;0;0;NO
353;18;19;1;1;1;0;NO
354;9;19;1;1;0;0;NO
355;5;19;0;0;0;0;NO
356;19;19;1;0;0;0;NO
357;10;19;1;1;0;0;NO
358;13;19;0;0;0;0;NO
359;4;19;1;1;0;0;NO
360;12;19;1;0;0;0;NO
361;8;19;0;0;0;0;NO
362;3;20;1;1;0;0;NO
363;14;20;1;1;0;0;NO
364;17;20;0;0;0;0;NO
365;11;20;1;1;0;0;NO
366;6;20;0;0;0;0;NO
367;1;20;1;0;0;0;NO
368;15;20;1;0;0;0;NO
369;16;20;0;0;0;0;NO
370;2;20;1;0;0;0;NO
371;7;20;1;1;0;0;NO
372;18;20;1;1;1;0;AMARILLA
373;9;20;0;0;0;0;NO
374;5;20;0;0;0;0;NO
375;19;20;0;0;0;0;NO
376;10;20;0;0;0;0;NO
377;13;20;0;0;0;0;NO
378;4;20;1;1;0;0;NO
379;12;20;1;1;0;0;NO
380;8;20;1;0;0;0;AMARILLA
381;3;21;1;1;0;0;NO
382;14;21;1;1;0;0;NO
383;17;21;0;0;0;0;NO
384;11;21;1;1;0;0;NO
385;6;21;1;0;0;0;NO
386;1;21;1;0;0;0;NO
387;15;21;1;1;0;1;NO
388;16;21;1;0;0;0;NO
389;2;21;0;0;0;0;NO
390;7;21;0;0;0;0;NO
391;18;21;1;1;0;0;NO
392;9;21;0;0;0;0;NO
393;5;21;0;0;0;0;NO
394;19;21;1;0;0;0;NO
395;10;21;1;1;1;0;NO
396;13;21;0;0;0;0;NO
397;4;21;1;1;0;0;NO
398;12;21;0;0;0;0;NO
399;8;21;0;0;0;0;NO
400;3;22;1;1;0;0;NO
401;14;22;1;1;0;0;NO
402;17;22;0;0;0;0;NO
403;11;22;1;1;0;0;NO
404;6;22;0;0;0;0;NO
405;1;22;1;0;0;0;NO
406;15;22;1;0;0;0;NO
407;16;22;1;1;0;0;NO
408;2;22;0;0;0;0;NO
409;7;22;0;0;0;0;NO
410;18;22;1;1;0;0;NO
411;9;22;0;0;0;0;NO
412;5;22;1;0;0;0;NO
413;19;22;1;0;0;0;NO
414;10;22;0;0;0;0;NO
415;13;22;0;0;0;0;NO
416;4;22;1;1;0;0;NO
417;12;22;1;0;0;0;NO
418;8;22;1;1;1;0;NO
