id,temporadaId,equipoId,jornada,puntos,partidosGanados,partidosEmpatados,partidosPerdidos,golesAFavor,golesEnContra
69,1,9,6,4,1,1,4,12,25
70,1,10,6,5,1,2,3,9,14
71,1,11,6,9,3,0,3,17,17
72,1,12,6,8,2,2,2,9,13
73,1,1,7,7,2,1,4,24,32
74,1,2,7,14,4,2,1,25,18
75,1,3,7,11,3,2,2,23,16
76,1,4,7,4,1,1,5,13,24
77,1,5,7,7,2,1,4,20,26
78,1,6,7,19,6,1,0,38,10
79,1,7,7,9,3,0,4,17,17
80,1,8,7,15,5,0,2,25,20
81,1,9,7,4,1,1,5,14,31
82,1,10,7,8,2,2,3,11,15
83,1,11,7,10,3,1,3,19,19
84,1,12,7,11,3,2,2,12,13
85,1,1,8,10,3,1,4,27,34
86,1,2,8,14,4,2,2,26,23
87,1,3,8,14,4,2,2,31,16
88,1,4,8,4,1,1,6,13,32
89,1,5,8,7,2,1,5,22,31
90,1,6,8,22,7,1,0,43,11
91,1,7,8,9,3,0,5,19,20
92,1,8,8,15,5,0,3,26,30
93,1,9,8,4,1,1,6,17,35
94,1,10,8,11,3,2,3,21,16
95,1,11,8,13,4,1,3,23,22
96,1,12,8,14,4,2,2,17,15
97,1,1,9,10,3,1,5,30,41
98,1,2,9,17,5,2,2,28,24
99,1,3,9,17,5,2,2,37,17
100,1,4,9,4,1,1,7,15,40
101,1,5,9,7,2,1,6,23,37
102,1,6,9,25,8,1,0,55,11
103,1,7,9,9,3,0,6,20,22
104,1,8,9,18,6,0,3,33,33
105,1,9,9,4,1,1,7,22,41
106,1,10,9,14,4,2,3,27,21
107,1,11,9,16,5,1,3,31,24
108,1,12,9,14,4,2,3,17,27
109,1,1,10,10,3,1,6,33,46
110,1,2,10,18,5,3,2,30,26
111,1,3,10,17,5,2,3,38,24
112,1,4,10,4,1,1,8,16,43
113,1,5,10,10,3,1,6,26,38
114,1,6,10,28,9,1,0,62,12
115,1,7,10,12,4,0,6,24,25
116,1,8,10,19,6,1,3,35,35
117,1,9,10,7,2,1,7,27,44
118,1,10,10,15,4,3,3,30,24
119,1,11,10,17,5,2,3,34,27
120,1,12,10,14,4,2,4,20,31
121,1,1,11,10,3,1,7,37,51
122,1,2,11,21,6,3,2,31,26
123,1,3,11,20,6,2,3,40,25
124,1,4,11,4,1,1,9,16,54
125,1,5,11,10,3,1,7,30,43
126,1,6,11,31,10,1,0,73,12
127,1,7,11,12,4,0,7,25,27
128,1,8,11,22,7,1,3,38,37
129,1,9,11,7,2,1,8,27,45
130,1,10,11,18,5,3,3,35,28
131,1,11,11,20,6,2,3,39,31
132,1,12,11,14,4,2,5,22,34
133,1,1,12,13,4,1,7,41,53
134,1,2,12,24,7,3,2,33,26
135,1,3,12,20,6,2,4,41,29
136,1,4,12,4,1,1,10,18,57
137,1,5,12,13,4,1,7,34,45
138,1,6,12,31,10,1,1,75,16
139,1,7,12,15,5,0,7,28,29
140,1,8,12,25,8,1,3,42,38
141,1,9,12,7,2,1,9,28,47
142,1,10,12,18,5,3,4,35,30
143,1,11,12,20,6,2,4,41,35
144,1,12,12,17,5,2,5,24,35
145,1,1,13,16,5,1,7,44,55
146,1,2,13,24,7,3,3,35,29
147,1,3,13,23,7,2,4,48,31
148,1,4,13,4,1,1,11,18,64
149,1,5,13,13,4,1,8,34,47
150,1,6,13,34,11,1,1,81,16
151,1,7,13,18,6,0,7,30,29
152,1,8,13,28,9,1,3,49,38
153,1,9,13,7,2,1,10,30,54
154,1,10,13,19,5,4,4,38,33
155,1,11,13,20,6,2,5,41,41
156,1,12,13,18,5,3,5,27,38
157,1,1,14,17,5,2,7,47,58
158,1,2,14,27,8,3,3,40,33
159,1,3,14,23,7,2,5,49,34
160,1,4,14,4,1,1,12,21,69
161,1,5,14,13,4,1,9,38,52
162,1,6,14,37,12,1,1,85,16
163,1,7,14,18,6,0,8,30,33
164,1,8,14,31,10,1,3,54,42
165,1,9,14,10,3,1,10,35,57
166,1,10,14,22,6,4,4,41,34
167,1,11,14,20,6,2,6,45,46
168,1,12,14,19,5,4,5,30,41
169,1,1,15,17,5,2,8,51,68
170,1,2,15,30,9,3,3,43,34
171,1,3,15,26,8,2,5,59,38
172,1,4,15,4,1,1,13,24,78
173,1,5,15,14,4,2,9,39,53
174,1,6,15,40,13,1,1,88,18
175,1,7,15,21,7,0,8,34,36
176,1,8,15,31,10,1,4,56,45
177,1,9,15,11,3,2,10,36,58
178,1,10,15,25,7,4,4,50,37
179,1,11,15,20,6,2,7,48,50
180,1,12,15,19,5,4,6,31,44
181,1,1,16,20,6,2,8,60,68
182,1,2,16,33,10,3,3,46,36
183,1,3,16,26,8,2,6,61,41
184,1,4,16,4,1,1,14,24,87
185,1,5,16,14,4,2,10,42,57
186,1,6,16,43,14,1,1,95,19
187,1,7,16,21,7,0,9,36,39
188,1,8,16,34,11,1,4,59,47
189,1,9,16,11,3,2,11,37,65
190,1,10,16,28,8,4,4,54,40
191,1,11,16,23,7,2,7,58,53
192,1,12,16,19,5,4,7,34,54
193,1,1,17,23,7,2,8,64,70
194,1,2,17,36,11,3,3,55,37
195,1,3,17,29,9,2,6,66,43
196,1,4,17,4,1,1,15,25,96
197,1,5,17,14,4,2,11,44,61
198,1,6,17,46,15,1,1,100,21
199,1,7,17,24,8,0,9,40,41
200,1,8,17,37,12,1,4,62,49
201,1,9,17,11,3,2,12,39,69
202,1,10,17,28,8,4,5,56,45
203,1,11,17,23,7,2,8,60,56
204,1,12,17,19,5,4,8,36,59
205,1,1,18,23,7,2,9,65,82
206,1,2,18,39,12,3,3,60,38
207,1,3,18,32,10,2,6,72,46
208,1,4,18,4,1,1,16,29,102
209,1,5,18,14,4,2,12,45,66
210,1,6,18,49,16,1,1,112,22
211,1,7,18,24,8,0,10,41,44
212,1,8,18,40,13,1,4,67,49
213,1,9,18,11,3,2,13,39,74
214,1,10,18,31,9,4,5,59,46
215,1,11,18,23,7,2,9,63,62
216,1,12,18,22,6,4,8,42,63
217,1,1,19,23,7,2,10,67,91
218,1,2,19,42,13,3,3,63,40
219,1,3,19,35,11,2,6,88,47
220,1,4,19,4,1,1,17,30,118
221,1,5,19,17,5,2,12,48,68
222,1,6,19,49,16,1,2,114,25
223,1,7,19,27,9,0,10,50,46
224,1,8,19,43,14,1,4,69,50
225,1,9,19,11,3,2,14,39,77
226,1,10,19,31,9,4,6,60,48
227,1,11,19,26,8,2,9,66,62
228,1,12,19,22,6,4,9,44,66
229,1,1,20,26,8,2,10,72,94
230,1,2,20,45,14,3,3,69,42
231,1,3,20,35,11,2,7,90,52
232,1,4,20,4,1,1,18,31,128
233,1,5,20,20,6,2,12,53,70
234,1,6,20,50,16,2,2,115,26
235,1,7,20,27,9,0,11,52,52
236,1,8,20,43,14,1,5,72,55
237,1,9,20,11,3,2,15,39,86
238,1,10,20,34,10,4,6,69,48
239,1,11,20,29,9,2,9,76,63
240,1,12,20,23,6,5,9,45,67
241,1,1,21,29,9,2,10,87,94
242,1,2,21,46,14,4,3,74,47
243,1,3,21,35,11,2,8,91,60
244,1,4,21,4,1,1,19,35,134
245,1,5,21,23,7,2,12,59,74
246,1,6,21,53,17,2,2,123,27
247,1,7,21,30,10,0,11,55,54
248,1,8,21,44,14,2,5,77,60
249,1,9,21,11,3,2,16,39,101
250,1,10,21,34,10,4,7,73,53
251,1,11,21,32,10,2,9,81,67
252,1,12,21,23,6,5,10,47,70
253,1,1,22,29,9,2,11,89,98
254,1,2,22,49,15,4,3,84,49
255,1,3,22,35,11,2,9,93,64
256,1,4,22,4,1,1,20,36,146
257,1,5,22,26,8,2,12,62,76
258,1,6,22,56,18,2,2,135,28
259,1,7,22,33,11,0,11,59,56
260,1,8,22,47,15,2,5,80,61
261,1,9,22,11,3,2,17,41,111
262,1,10,22,37,11,4,7,77,55
263,1,11,22,32,10,2,10,83,70
264,1,12,22,23,6,5,11,48,73
